horario,"Alto Branco, Campina Grande, Paraíba","Rua Padre Pedro Serrão, Liberdade, Campina Grande, Paraíba, 58414-265","Araxá, Campina Grande, Paraíba","Nações, Campina Grande, Paraíba","Conceição, Campina Grande, Paraíba","Cuites, Campina Grande, Paraíba","Kampina-Grande, Campina Grande, Paraíba","Jardim Continental, Campina Grande, Paraíba","Rua Professora Maria Helena de Menezes, Malvinas, Campina Grande, Paraíba, 58433-528","Jardim Tavares, Campina Grande, Paraíba","Jeremias, Campina Grande, Paraíba","Campina Grande, Paraíba","Lauritzen, Campina Grande, Paraíba","Louzeiro, Campina Grande, Paraíba","Monte Santo, Campina Grande, Paraíba","Novo Bodocongo, Campina Grande, Paraíba","Palmeira, Campina Grande, Paraíba","Rua Belo Monte, Nova Brasília, Campina Grande, Paraíba, 58406-723","Castelo Branco, Campina Grande, Paraíba","Travessa Santa Terezinha, Campina Grande, Paraíba, 58410","Rua Silva Jardim, José Pinheiro, Campina Grande, Paraíba, 58406-060","José Pinheiro, Campina Grande, Paraíba","Mirante, Campina Grande, Paraíba","Monte Castelo, Campina Grande, Paraíba","Nova Brasília, Monte Castelo, Campina Grande, Paraíba","Santo Antônio, Campina Grande, Paraíba","Vila Cabral, Campina Grande, Paraíba","Acácio Figueiredo, Presidente Médici, Campina Grande, Paraíba","Cidades, Campina Grande, Paraíba","Catolé, Campina Grande, Paraíba","Rua Josefa Ferreira, Santa Rosa, Campina Grande, Paraíba, 58416-343","Rua Almirante Alexandrino, Acácio Figueiredo, Campina Grande, Paraíba, 58421-420",UBS Ronaldo Cunha Lima,"Rua do Sol, Quarenta, Campina Grande, Paraíba, 58416-280","Cruzeiro, Campina Grande, Paraíba","Distrito Industrial, Campina Grande, Paraíba","Estação Velha, Campina Grande, Paraíba","Itararé, Campina Grande, Paraíba","Rua da Borborema, Monte Santo, Campina Grande, Paraíba, 58400-700","Jardim Paulistano, Campina Grande, Paraíba","Vila Vitória, José Pinheiro, Campina Grande, Paraíba, 58407-333","Liberdade, Campina Grande, Paraíba","Avenida Belo Horizonte, Presidente Médici, Campina Grande, Paraíba, 58423-100","Presidente Médici, Campina Grande, Paraíba","Quarenta, Campina Grande, Paraíba","Rua Getúlio Cavalcante, Liberdade, Campina Grande, Paraíba, 58414-245","Travessa Maria Rosa, Monte Santo, Campina Grande, Paraíba, 58400-742","Sandra Cavalcante, Campina Grande, Paraíba","São José, Campina Grande, Paraíba","Tambor, Campina Grande, Paraíba","Três Irmãs, Campina Grande, Paraíba","Velame, Campina Grande, Paraíba","Bela Vista, Universitário, Campina Grande, Paraíba","Bodocongó, Campina Grande, Paraíba","Centenário, Campina Grande, Paraíba","Praça Severino Cabral, Bodocongó, Campina Grande, Paraíba, 58430","Dinamérica, Campina Grande, Paraíba",Jardim Verdejante,João Paulo II,"Malvinas, Campina Grande, Paraíba","Serrotão, Campina Grande, Paraíba","Pedregal, Campina Grande, Paraíba","Prata, Campina Grande, Paraíba","Ramadinha, Campina Grande, Paraíba","Santa Cruz, Campina Grande, Paraíba","Santa Rosa, Santa Cruz, Campina Grande, Paraíba","Rua São Januário, Serrotão, Campina Grande, Paraíba, 58437-690","Rua São Lucas, Jeremias, Campina Grande, Paraíba, 58404-200","Universitário, Campina Grande, Paraíba"
2018-12-15 09:47:34.982363,180,180,180,360,120,240,240,360,360,180,240,300,120,240,240,360,180,360,180,480,240,180,180,300,300,120,240,120,240,240,300,240,120,300,240,360,360,360,240,300,180,300,180,120,300,360,240,180,300,600,180,180,120,360,240,360,480,300,240,240,240,180,180,180,240,360,180,360,360
2018-12-15 10:18:29.036377,180,180,600,300,120,300,180,360,540,240,480,240,180,360,420,720,300,420,180,360,180,180,120,300,420,240,180,540,600,180,180,600,720,180,300,300,240,180,300,300,240,180,540,540,180,180,180,120,180,120,300,300,360,480,300,540,600,240,180,420,540,420,300,540,360,180,540,180,180
2018-12-15 10:49:21.338740,240,180,480,300,240,420,120,480,420,120,300,240,180,300,180,540,240,120,180,480,180,120,180,240,180,120,180,300,420,120,120,480,240,180,240,300,120,360,180,360,120,180,240,240,120,120,240,120,240,300,300,240,180,300,300,300,240,300,180,240,480,360,240,360,240,240,480,360,300
2018-12-15 11:20:20.394883,180,240,420,240,120,300,180,360,180,120,300,240,180,240,120,540,120,300,240,480,120,120,180,300,240,120,180,180,360,120,300,420,120,360,300,300,300,300,120,120,180,240,240,180,360,240,180,300,300,300,180,240,120,180,180,180,240,240,180,180,480,180,120,360,240,360,480,300,300
2018-12-15 11:51:14.566081,240,240,360,240,240,360,180,420,540,240,420,300,180,360,360,420,300,180,240,480,120,180,240,300,120,240,120,180,480,180,240,540,360,240,240,180,240,300,480,240,120,240,180,180,240,240,480,180,300,180,360,300,420,420,420,600,540,360,240,480,660,600,360,480,180,300,600,180,360
2018-12-15 12:22:07.804619,300,120,420,360,420,120,180,300,180,300,240,240,360,360,180,360,240,360,300,600,300,180,180,240,300,300,240,240,300,240,180,240,180,180,240,120,240,120,300,120,240,120,240,240,180,120,480,180,300,240,180,180,240,180,120,240,240,240,180,180,300,240,240,300,240,180,360,540,480
2018-12-15 12:53:02.362974,300,120,360,240,420,480,360,420,240,420,420,300,420,540,480,360,360,600,420,240,300,360,420,540,540,360,420,180,360,360,240,420,420,180,120,300,300,240,420,240,300,120,300,180,180,120,420,180,300,300,360,420,240,180,180,300,240,360,240,180,240,180,240,180,180,240,240,300,360
2018-12-15 13:24:00.635168,180,120,540,180,240,420,240,300,120,240,360,180,360,300,300,480,240,240,300,600,300,240,180,300,240,360,240,120,180,240,240,240,300,300,120,180,120,240,300,120,240,120,180,120,300,120,300,180,120,240,240,180,120,300,240,300,240,300,180,240,300,180,180,300,180,180,300,300,240
2018-12-15 13:55:06.350683,120,240,360,360,120,300,180,420,180,180,240,180,120,240,300,240,180,180,240,420,180,240,120,300,120,180,120,120,360,120,240,420,180,180,240,300,240,120,300,120,240,180,120,120,180,240,240,180,240,300,300,240,120,240,300,240,180,300,180,180,240,120,180,180,240,360,240,300,240
2018-12-15 14:26:03.512672,300,180,420,540,180,360,240,480,360,300,360,120,360,240,420,240,420,420,420,540,300,360,180,300,360,420,360,180,180,360,240,240,360,180,180,240,300,240,300,240,420,120,300,180,180,120,300,480,240,180,240,300,420,120,300,120,180,180,420,300,360,240,300,360,120,240,420,240,240
2018-12-15 14:57:02.198388,180,300,480,180,240,300,120,300,240,180,540,120,120,240,360,180,180,180,180,480,180,240,360,420,180,120,180,480,120,240,240,180,420,180,360,660,300,360,240,300,240,240,420,480,180,240,300,180,120,360,240,180,180,180,300,240,360,180,120,240,180,240,300,240,240,300,180,300,180
2018-12-15 15:27:58.877746,180,180,300,240,300,120,180,180,240,120,240,120,180,180,300,360,120,360,240,420,120,120,240,300,300,180,300,120,480,180,120,480,180,120,120,480,240,360,240,360,120,180,180,180,120,180,240,120,180,300,240,300,180,120,180,120,120,300,120,120,300,180,300,300,180,120,300,300,180
2018-12-15 15:58:55.228916,120,240,360,240,120,180,180,300,480,180,180,60,120,240,180,300,180,120,240,480,120,180,240,420,120,120,240,180,420,300,120,420,180,120,120,180,240,300,180,120,120,180,120,180,120,180,180,360,180,180,240,240,180,300,180,300,300,300,240,300,420,240,120,420,120,120,420,120,300
2018-12-15 16:29:52.323208,480,240,420,360,360,540,360,480,360,240,540,480,180,480,240,360,480,240,240,540,240,240,300,300,180,240,600,240,420,480,240,420,240,240,240,180,240,360,480,300,300,120,240,180,240,180,600,600,300,300,240,300,300,600,360,240,300,240,240,240,300,360,420,300,120,180,360,360,300
2018-12-15 17:00:52.117873,360,180,480,540,240,240,240,420,240,420,240,420,180,240,240,600,180,480,480,780,420,240,480,420,420,360,480,360,420,180,300,420,300,240,180,360,300,360,240,120,180,240,300,360,240,240,360,300,420,300,300,180,240,180,420,180,480,480,240,480,900,420,420,720,420,300,720,300,480
2018-12-15 17:32:35.626957,240,240,300,240,360,420,300,360,240,120,360,120,120,420,420,420,360,180,180,480,240,180,120,180,300,120,300,120,360,420,180,360,180,180,120,240,240,240,240,360,240,240,240,120,180,300,300,180,180,420,120,240,240,120,300,120,240,120,240,180,420,360,300,300,180,240,420,240,300
2018-12-15 18:03:32.644065,180,120,300,360,120,120,120,120,360,180,120,300,120,120,240,420,180,180,180,540,120,120,180,240,120,120,180,180,360,180,180,420,180,180,180,180,180,180,240,120,120,120,300,180,180,120,240,120,180,300,120,240,120,240,240,240,240,180,180,240,360,180,300,240,180,240,360,120,180
